RequestID,PlaneID,RepairCode,RequestDate,PilotID
1,PL001,RC004,2025-04-06,P005
2,PL004,RC003,2025-04-11,P005
3,PL001,RC001,2025-04-22,P001
4,PL005,RC002,2025-04-11,P006
5,PL003,RC003,2025-04-08,P005
6,PL002,RC004,2025-04-03,P002
7,PL002,RC001,2025-04-02,P010
8,PL002,RC002,2025-04-23,P008
9,PL001,RC001,2025-04-18,P010
10,PL003,RC003,2025-04-24,P008
11,PL002,RC002,2025-04-02,P003
12,PL002,RC004,2025-04-18,P005
13,PL005,RC003,2025-04-29,P006
14,PL004,RC001,2025-04-30,P007
15,PL001,RC004,2025-04-14,P009
16,PL005,RC001,2025-04-06,P010
17,PL003,RC002,2025-04-10,P001
18,PL005,RC001,2025-04-26,P004
19,PL004,RC004,2025-04-22,P009
20,PL005,RC001,2025-04-06,P008
